date,Total system
1/1/2025,
1/2/2025,
1/3/2025,
1/4/2025,
1/5/2025,
1/6/2025,
1/7/2025,
1/8/2025,
1/9/2025,
1/10/2025,
1/11/2025,
1/12/2025,
1/13/2025,
1/14/2025,
1/15/2025,
1/16/2025,
1/17/2025,
1/18/2025,
1/19/2025,
1/20/2025,
1/21/2025,
1/22/2025,
1/23/2025,
1/24/2025,
1/25/2025,
1/26/2025,
1/27/2025,
1/28/2025,
1/29/2025,
1/30/2025,
1/31/2025,
2/1/2025,
2/2/2025,
2/3/2025,
2/4/2025,
2/5/2025,
2/6/2025,
2/7/2025,
2/8/2025,
2/9/2025,
2/10/2025,
2/11/2025,
2/12/2025,
2/13/2025,
2/14/2025,
2/15/2025,
2/16/2025,
2/17/2025,
2/18/2025,
2/19/2025,
2/20/2025,
2/21/2025,
2/22/2025,
2/23/2025,
2/24/2025,
2/25/2025,
2/26/2025,
2/27/2025,
2/28/2025,
3/1/2025,
3/2/2025,
3/3/2025,
3/4/2025,
3/5/2025,
3/6/2025,
3/7/2025,
3/8/2025,
3/9/2025,
3/10/2025,
3/11/2025,
3/12/2025,
3/13/2025,
3/14/2025,
3/15/2025,
3/16/2025,
3/17/2025,
3/18/2025,
3/19/2025,
3/20/2025,
3/21/2025,
3/22/2025,
3/23/2025,
3/24/2025,
3/25/2025,
3/26/2025,
3/27/2025,
3/28/2025,
3/29/2025,
3/30/2025,
3/31/2025,
4/1/2025,
4/2/2025,
4/3/2025,
4/4/2025,
4/5/2025,
4/6/2025,
4/7/2025,
4/8/2025,
4/9/2025,
4/10/2025,
4/11/2025,
4/12/2025,
4/13/2025,
4/14/2025,
4/15/2025,
4/16/2025,
4/17/2025,
4/18/2025,
4/19/2025,
4/20/2025,
4/21/2025,
4/22/2025,
4/23/2025,
4/24/2025,
4/25/2025,
4/26/2025,
4/27/2025,
4/28/2025,
4/29/2025,
4/30/2025,
5/1/2025,
5/2/2025,
5/3/2025,
5/4/2025,
5/5/2025,
5/6/2025,
5/7/2025,
5/8/2025,
5/9/2025,
5/10/2025,
5/11/2025,
5/12/2025,
5/13/2025,
5/14/2025,
5/15/2025,
5/16/2025,
5/17/2025,
5/18/2025,
5/19/2025,
5/20/2025,
5/21/2025,
5/22/2025,
5/23/2025,
5/24/2025,
5/25/2025,
5/26/2025,
5/27/2025,
5/28/2025,
5/29/2025,
5/30/2025,
5/31/2025,
6/1/2025,
6/2/2025,
6/3/2025,
6/4/2025,
6/5/2025,
6/6/2025,
6/7/2025,
6/8/2025,
6/9/2025,
6/10/2025,
6/11/2025,
6/12/2025,
6/13/2025,
6/14/2025,
6/15/2025,
6/16/2025,
6/17/2025,
6/18/2025,
6/19/2025,
6/20/2025,
6/21/2025,
6/22/2025,
6/23/2025,
6/24/2025,
6/25/2025,
6/26/2025,
6/27/2025,
6/28/2025,
6/29/2025,
6/30/2025,
7/1/2025,
7/2/2025,
7/3/2025,
7/4/2025,
7/5/2025,
7/6/2025,
7/7/2025,
7/8/2025,
7/9/2025,
7/10/2025,
7/11/2025,
7/12/2025,
7/13/2025,
7/14/2025,
7/15/2025,
7/16/2025,
7/17/2025,
7/18/2025,
7/19/2025,
7/20/2025,
7/21/2025,
7/22/2025,
7/23/2025,
7/24/2025,
7/25/2025,
7/26/2025,
7/27/2025,
7/28/2025,
7/29/2025,
7/30/2025,
7/31/2025,
8/1/2025,
8/2/2025,
8/3/2025,
8/4/2025,
8/5/2025,
8/6/2025,
8/7/2025,
8/8/2025,
8/9/2025,
8/10/2025,
8/11/2025,
8/12/2025,
8/13/2025,
8/14/2025,
8/15/2025,
8/16/2025,
8/17/2025,
8/18/2025,
8/19/2025,
8/20/2025,122.82491
8/21/2025,117.37637
8/22/2025,140.39799
8/23/2025,152.78358
8/24/2025,153.1576
8/25/2025,144.22354
8/26/2025,133.62935
8/27/2025,140.55812
8/28/2025,138.35819
8/29/2025,130.59102
8/30/2025,127.66253
8/31/2025,130.41368
9/1/2025,84.6635
9/2/2025,114.77362
9/3/2025,90.3863
9/4/2025,137.38585
9/5/2025,133.19376
9/6/2025,121.21744
9/7/2025,68.9251
9/8/2025,105.3863
9/9/2025,21.20703
9/10/2025,0
9/11/2025,0
9/12/2025,0
9/13/2025,0
9/14/2025,0
9/15/2025,55.00966
9/16/2025,113.79426
9/17/2025,108.67357
9/18/2025,101.27047
9/19/2025,94.18578
9/20/2025,94.86438
9/21/2025,69.48007
9/22/2025,104.82217
9/23/2025,98.10975
9/24/2025,45.34731
9/25/2025,90.26094
9/26/2025,96.19535
9/27/2025,58.28897
9/28/2025,61.54857
9/29/2025,50.07423
9/30/2025,29.90926
10/1/2025,47.71269
10/2/2025,85.19544
10/3/2025,74.16696
10/4/2025,52.60496
10/5/2025,87.75524
10/6/2025,52.22118
10/7/2025,56.75565
10/8/2025,62.62942
10/9/2025,84.01039
10/10/2025,75.94191
10/11/2025,24.84253
10/12/2025,33.57148
10/13/2025,76.47039
10/14/2025,84.69478
10/15/2025,78.9035
10/16/2025,74.07054
10/17/2025,72.32819
10/18/2025,74.98411
10/19/2025,33.17539
10/20/2025,54.49062
10/21/2025,63.28724
10/22/2025,65.15189
10/23/2025,59.24252
10/24/2025,31.78188
10/25/2025,60.99986
10/26/2025,18.80713
10/27/2025,17.70041
10/28/2025,63.6922
10/29/2025,46.56279
10/30/2025,38.87725
10/31/2025,31.5646
11/1/2025,21.90894
11/2/2025,54.71393
11/3/2025,40.4003
11/4/2025,51.05769
11/5/2025,27.03305
11/6/2025,13.49013
11/7/2025,0.41774
11/8/2025,15.52135
11/9/2025,25.3939
11/10/2025,27.03163
11/11/2025,35.95155
11/12/2025,35.9979
11/13/2025,23.52451
11/14/2025,32.00773
11/15/2025,30.89557
11/16/2025,27.68115
11/17/2025,19.26993
11/18/2025,10.28506
11/19/2025,22.69691
11/20/2025,24.49584
11/21/2025,17.33032
11/22/2025,18.67292
11/23/2025,18.96364
11/24/2025,18.45858
11/25/2025,18.98742
11/26/2025,19.80405
11/27/2025,9.11191
11/28/2025,0.29099
11/29/2025,0.41276
11/30/2025,0.43721
12/1/2025,0.08486
12/2/2025,4.20394
12/3/2025,0.83251
12/4/2025,2.19414
12/5/2025,0.43693
12/6/2025,0.26601
12/7/2025,0.09034
12/8/2025,0.0174
12/9/2025,0.00777
12/10/2025,0.09797
12/11/2025,0.00071
12/12/2025,0
12/13/2025,0
12/14/2025,0
12/15/2025,0.01509
12/16/2025,0
12/17/2025,0
12/18/2025,0
12/19/2025,0
12/20/2025,0
12/21/2025,0
12/22/2025,0
12/23/2025,0
12/24/2025,0
12/25/2025,0
12/26/2025,0
12/27/2025,0
12/28/2025,0
12/29/2025,0
12/30/2025,0
12/31/2025,0
1/1/2026,0
1/2/2026,
1/3/2026,
1/4/2026,
1/5/2026,
1/6/2026,
1/7/2026,
1/8/2026,
1/9/2026,
1/10/2026,
1/11/2026,
1/12/2026,
1/13/2026,
1/14/2026,
1/15/2026,
1/16/2026,
1/17/2026,
1/18/2026,
1/19/2026,
1/20/2026,
1/21/2026,
1/22/2026,
1/23/2026,
1/24/2026,
1/25/2026,
1/26/2026,
1/27/2026,
1/28/2026,
1/29/2026,
1/30/2026,
1/31/2026,
2/1/2026,
2/2/2026,
2/3/2026,
2/4/2026,
2/5/2026,
2/6/2026,
2/7/2026,
2/8/2026,
2/9/2026,
2/10/2026,
2/11/2026,
2/12/2026,
